Nombre repositorio;N°;Enlace;Posición;Calificación FAIR;Descripción del conjunto de datos: Readme o diccionario de datos;Uso de identificador único;Formato del conjunto de datos;Calidad/coherencia de la clasificación;Los archivos se pueden descargar
Repositorio de Datos de Investigación Universidad del Rosario;22;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/X7TTUO;35;54%;0;1;TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;23;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/XCREFL;36;56%;0;1;XLSX, TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;24;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/XHKWLL;37;54%;1;1;TAB, TXT, WOS;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;25;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/YG6DAS;40;54%;0;1;GML;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;26;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/G2B57U;41;56%;0;1;DOCX;No es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;27;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/HCM89P;42;75%;0;1;PDF;No es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;28;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/IJUGSW;43;56%;1;1;TAB, R;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;29;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/JLP6C3;44;75%;0;1;DO, DTA, PDF;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;30;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/KNQVXU;46;75%;0;1;XLSX;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;31;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/LJWZCK;47;56%;0;1;XLSX;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;32;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/OT5AAD;50;56%;0;1;PNG;No es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;33;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/QSNIKJ;52;56%;0;1;TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;34;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/QTKZF1;54;56%;0;1;XLSX;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;35;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/UCNLLM;56;56%;1;1;R, PY, MD;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;36;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/US2DJG;57;56%;0;1;RIS;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;37;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/XBGBHB;58;75%;0;1;PDF, TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;38;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/Y4YV9Y;59;75%;0;1;DO, DTA;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;1;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/5TSEDO;1;83%;1;1;TAB, TXT;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;2;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/AXNGVK;2;83%;0;1;PDF;No es un dataset;1
Repositorio de Datos Académicos RDA-UNR;3;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/CR2R2D;3;83%;0;1;CSV, PDF, XLSX;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;4;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/DFXMNV;4;83%;0;1;CSV, TAB;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;5;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/EXIVRO;5;83%;1;1;TIFF, TXT;No es un dataset;1
Repositorio de Datos Académicos RDA-UNR;6;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/FBUZ75;6;83%;0;1;ODS;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;7;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/HETWJ9;7;83%;0;1;JPG, TAB, TXT;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;8;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/HLH331;8;83%;1;1;CSV, PDF, TAB, TXT;Es un dataset;0
Repositorio de Datos Académicos RDA-UNR;9;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/KNSPG1;9;83%;1;1;CSV, DOCX, PDF, TAB;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;10;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/KXHJO2;10;83%;0;1;TXT;No es un dataset;1
Repositorio de Datos Académicos RDA-UNR;11;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/LD3C1O;11;79%;0;1;TAB;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;12;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/MJBTEJ;12;83%;0;1;PDF, TXT;No es un dataset;1
Repositorio de Datos Académicos RDA-UNR;13;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/OJ4BUD;13;83%;1;1;PDF, TAB;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;14;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/PEFY4Q;14;83%;0;1;PDF, TAB;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;15;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/PTDCEY;15;83%;0;1;JPG, PNG, TAB, TIFF;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;16;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/REKPWF;16;79%;1;1;TAB;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;17;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/T7SDAX;17;83%;1;1;TAB, TXT, WAV, ;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;18;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/THC0KS;18;83%;0;1;DAG, DAT, DWG, PDF, SRF, TAB, TIFF;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;19;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/ULPO6K;19;79%;1;1;TAB;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;20;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/UVRYFZ;20;83%;0;1;CSV, PDF, XSLX;Es un dataset;1
Repositorio de Datos Académicos RDA-UNR;21;https://dataverse.unr.edu.ar/dataset.xhtml?persistentId=doi:10.57715/UNR/YRH5LP;21;60%;0;1;GPKG, JPG, TAB, TIFF, XSL;Es un dataset;1
Repositorio de Datos de Investigación de la Universidad Nacional de La Plata;1;https://datos.unlp.edu.ar/dataset.xhtml?persistentId=doi:10.15468/ak8aax;1;62%;0;1;XML, TXT;Es un dataset;1
Repositorio de Datos de Investigación de la Universidad Nacional de La Plata;2;https://datos.unlp.edu.ar/dataset.xhtml?persistentId=doi:10.15468/uxv5tv;2;62%;0;1;CSV;Es un dataset;1
Repositorio de Datos de Investigación de la Universidad Nacional de La Plata;3;https://datos.unlp.edu.ar/dataset.xhtml?persistentId=doi:10.35537/10915/104853;3;83%;0;1;TAB, XSLS;Es un dataset;1
Repositorio de Datos de Investigación de la Universidad Nacional de La Plata;4;https://datos.unlp.edu.ar/dataset.xhtml?persistentId=doi:10.35537/10915/119852;4;83%;0;1;TXT;Es un dataset;1
Repositorio de Datos de Investigación de la Universidad Nacional de La Plata;5;https://datos.unlp.edu.ar/dataset.xhtml?persistentId=doi:10.35537/10915/149823;5;83%;0;1;JPG, ZIP;Es un dataset;1
Repositorio de Datos de Investigación de la Universidad Nacional de La Plata;6;https://datos.unlp.edu.ar/dataset.xhtml?persistentId=doi:10.35537/10915/157959;6;79%;1;1;IPYNB, PY, TAB, TXT, YML;Es un dataset;1
Repositorio de Datos de Investigación de la Universidad Nacional de La Plata;7;https://datos.unlp.edu.ar/dataset.xhtml?persistentId=perma:10915datasetAXOZW4;7;70%;0;0;CSV, KML, TAB, GEOJSON;Es un dataset;1
Pontificia Universidad Católica del Perú;1;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/12QKSB;2;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;2;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/1GIMSH;3;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;3;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/1RTW4N;4;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;4;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/3LFPVM;8;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;5;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/3Q269O;10;66%;0;1;RTF, TAB, JPG;No es un dataset;1
Pontificia Universidad Católica del Perú;6;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/3UEZGG;11;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;7;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/5AH1Z0;14;70%;0;1;PDF;No es un dataset;0
Pontificia Universidad Católica del Perú;8;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/779SAR;16;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;9;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/8SJ0AQ;19;52%;0;1;GIF;No es un dataset;0
Pontificia Universidad Católica del Perú;10;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/8XBI8U;20;52%;0;1;GIF;No es un dataset;0
Pontificia Universidad Católica del Perú;11;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/9P6TSY;22;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;12;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/AZQENF;28;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;13;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/D5Y0N1;36;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;14;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/DNWY1V;37;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;15;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/DQXPOZ;39;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;16;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/DWDWLV;41;52%;0;1;MP3;No es un dataset;1
Pontificia Universidad Católica del Perú;17;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/FFVJKI;47;70%;0;1;PDF, RAR;Es un dataset;1
Pontificia Universidad Católica del Perú;18;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/GE6XFT;49;58%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;19;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/GRZS1W;50;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;20;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/IMUIFZ;59;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;21;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/IUAY0D;61;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;22;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/JVTOZD;63;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;23;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/JXQGZA;64;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;24;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/K6Y0N7;67;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;25;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/KH27SE;68;66%;0;1;TAB, TAR;Es un dataset;1
Pontificia Universidad Católica del Perú;26;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/KJUSHW;69;70%;1;1;PDF, WAV, EAF, TXT;Es un dataset;1
Pontificia Universidad Católica del Perú;27;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/KYCF84;70;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;28;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/MSGBMG;78;52%;0;1;GIF;No es un dataset;0
Pontificia Universidad Católica del Perú;29;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/MZJGCI;79;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;30;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/N6NJOX;80;70%;0;1;JPG, JFIF;No es un dataset;1
Pontificia Universidad Católica del Perú;31;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/NW5ETS;81;66%;1;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;32;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/OJYYYS;83;66%;0;1;TAB, TAR;Es un dataset;1
Pontificia Universidad Católica del Perú;33;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/PJ3KE9;85;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;34;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/QACDL0;88;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;35;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/QJCHMI;90;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;36;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/S15WAA;93;47%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;37;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/SJCRT5;94;66%;0;1;GIF;No es un dataset;1
Pontificia Universidad Católica del Perú;38;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/SS3AXE;96;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;39;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/STQHIP;97;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;40;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/THSLUU;99;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;41;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/TIGHGJ;100;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;42;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/TR3HSV;102;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;43;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/UEX2W5;105;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;44;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/W7TIIY;113;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;45;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/WOJYVJ;114;47%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;46;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/WZESYR;115;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;47;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/XPNLUQ;117;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;48;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/XRGJZC;118;52%;0;1;GIF;No es un dataset;0
Pontificia Universidad Católica del Perú;49;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/YFTFIR;121;66%;0;1;PDF, RAR;Es un dataset;1
Pontificia Universidad Católica del Perú;50;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/YRFUZ1;124;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;51;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/YSML1D;125;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;52;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/ZPLMGI;129;52%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;53;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/ZWIIRP;130;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;54;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/ZZWFY6;131;66%;0;1;PDF, TAB;Es un dataset;1
Pontificia Universidad Católica del Perú;55;https://datos.pucp.edu.pe/dataset.xhtml?persistentId=hdl:20.500.12534/2REYAB;5;66%;0;1;PDF, TAB;Es un dataset;1
